DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.07622	1.5	5.8694E-4	0.02996	0.11799	-5127.03995	-5183.81637	56.77642
-3.11823	1.5	0.00351	0.02974	0.21711	-5197.05275	-5173.74817	-23.30458
-2.98395	1.5	0.00641	0.02952	0.31694	-4973.25549	-5158.87427	185.61878
-3.11816	1.5	0.00929	0.0293	0.4175	-5196.94026	-5135.91217	-61.02809
-3.07514	1.5	0.01214	0.02909	0.51877	-5125.23656	-5098.03435	-27.20221
-3.06288	1.5	0.01498	0.02888	0.62077	-5104.80182	-5029.28516	-75.51667
-2.89421	1.5	0.01779	0.02866	0.72348	-4823.67735	-4886.46828	62.79093
-2.91798	1.5	0.02059	0.02845	0.82691	-4863.30738	-4533.64232	-329.66507
-1.99686	1.5	0.02336	0.02825	0.93105	-3328.10757	-3584.16254	256.05497
-1.1206	1.5	0.02611	0.02804	1.03592	-1867.67323	-1936.03231	68.35908
-0.68494	1.5	0.02883	0.02783	1.14151	-1141.56498	-798.74957	-342.81541
-0.25678	1.5	0.03154	0.02763	1.24781	-427.96049	-365.02871	-62.93178
0.00682	1.5	0.03422	0.02743	1.35484	11.37425	-198.08686	209.46111
0.14293	1.5	0.03689	0.02723	1.46258	238.2105	-121.77257	359.98307
-0.01707	1.5	0.03953	0.02703	1.57104	-28.45501	-81.47573	53.02072
0.05985	1.5	0.04215	0.02683	1.68022	99.75691	-57.82836	157.58527
0.25879	1.5	0.04475	0.02663	1.79012	431.32481	-42.82364	474.14845
0.1029	1.5	0.04732	0.02644	1.90073	171.49901	-32.71694	204.21595
0.07901	1.5	0.04988	0.02624	2.01207	131.68524	-25.58063	157.26587
0.07317	1.5	0.05241	0.02605	2.12413	121.95562	-20.34463	142.30025
0.24456	1.5	0.05493	0.02586	2.2369	407.59333	-16.3779	423.97122
-0.04449	1.5	0.05742	0.02567	2.35039	-74.14641	-13.28943	-60.85698
-0.05258	1.5	0.05988	0.02548	2.4646	-87.63432	-10.82685	-76.80747
	--	0.06233	0.02529	--			
